,movie_id,department,id,job,name
4696,13734,Writing,144257.0,Writer,Marc Esposito
4697,64357,Directing,21171.0,Director,Gérard Jugnot
4698,77280,Directing,146717.0,Director,Pascal Thomas
4699,79051,Directing,103511.0,Director,José Luis Garci
4700,33489,Directing,16862.0,Director,Claude Lelouch
4701,33489,Writing,16862.0,Writer,Claude Lelouch
4702,76155,Directing,82289.0,Director,Jean-Paul Lilienfeld
4703,145075,Directing,119294.0,Director,Abbas Kiarostami
4704,64442,Directing,48995.0,Director,Christian-Jaque
4705,63348,Directing,116431.0,Director,David A.R. White
4706,229559,Writing,278087.0,Screenplay,Elvira Lindo
4707,229559,Directing,1052217.0,Director,Jorge Torregrossa
4708,102534,Directing,124856.0,Director,Zaida Bergroth
4709,73922,Directing,88782.0,Director,Konstantin Lopushanskiy
4710,73922,Writing,88782.0,Writer,Konstantin Lopushanskiy
4711,281230,Directing,84769.0,Director,Michael Worth
4712,281230,Directing,105363.0,Director,Kate Connor
4713,281230,Writing,105363.0,Writer,Kate Connor
4714,63616,Directing,37613.0,Director,Jaime Chávarri
4715,63616,Writing,37613.0,Writer,Jaime Chávarri
4716,63616,Writing,1061936.0,Writer,Álvaro del Amo
4717,36674,Directing,74396.0,Director,Tomas Alfredson
4718,30149,Directing,81210.0,Director,Stephan Apelgren
4719,214251,Directing,932161.0,Director,Albert Serra
4720,214251,Writing,932161.0,Screenplay,Albert Serra
4721,97762,Directing,932613.0,Director,Ben Rivers
4722,97762,Writing,932613.0,Writer,Ben Rivers
4723,211722,Directing,932613.0,Director,Ben Rivers
4724,211722,Directing,1070225.0,Director,Ben Russell
4725,85642,Directing,142594.0,Director,Les Blank
4726,163366,Directing,142594.0,Director,Les Blank
4727,39064,Directing,121798.0,Director,Joko Anwar
4728,39064,Writing,121798.0,Writer,Joko Anwar
4729,137008,Directing,1012088.0,Director,James Benning
4730,250660,Directing,550669.0,Director,Andrew Rossi
4731,250660,Writing,550669.0,Writer,Andrew Rossi
4732,250660,Sound,1285806.0,Original Music Composer,Ian Hultquist
4733,85658,Directing,142594.0,Director,Les Blank
4734,128831,Directing,9956.0,Director,Chris Marker
4735,96574,Directing,240637.0,Director,Corinna Belz
4736,205504,Directing,8741.0,Director,Victor Sjöström
4737,83297,Directing,144014.0,Director,Gakuryû Ishii
4738,100246,Directing,1024165.0,Director,Winsor McCay
4739,100246,Writing,1024165.0,Writer,Winsor McCay
4740,56440,Writing,15602.0,Screenplay,Fernando León de Aranoa
4741,56440,Directing,15602.0,Director,Fernando León de Aranoa
4742,84442,Directing,1181874.0,Director,Ivan Vyrypaev
4743,84442,Writing,1181874.0,Writer,Ivan Vyrypaev
4744,84442,Crew,1181876.0,Cinematography,Andrey Naydyonov
4745,277688,Directing,1046489.0,Director,Richard Bates Jr.
4746,277688,Writing,1046489.0,Writer,Richard Bates Jr.
4747,321594,Writing,52849.0,Writer,Louis C.K.
4748,321594,Directing,52849.0,Director,Louis C.K.
4749,319091,Directing,112588.0,Director,Kirby Dick
4750,319079,Directing,74060.0,Director,Amy Berg
4751,319079,Writing,74060.0,Writer,Amy Berg
4752,312813,Directing,1061561.0,Director,Mark Cousins
4753,227800,Directing,1061561.0,Director,Mark Cousins
4754,194537,Directing,1061561.0,Director,Mark Cousins
4755,194537,Writing,1061561.0,Writer,Mark Cousins
4756,116649,Directing,1061561.0,Director,Mark Cousins
4757,116649,Writing,1061561.0,Writer,Mark Cousins
4758,115553,Directing,1061561.0,Director,Mark Cousins
4759,251321,Directing,101399.0,Director,Claudia Llosa
4760,251321,Writing,101399.0,Writer,Claudia Llosa
